#,Palabra,Sin acentos,Letras,Tema,Terminal,Tipo,Reparto
1,ACTOR,ACTOR,5,Operaciones,Usos Multiples,Valor,Principal
2,ADUANA,ADUANA,6,Operaciones,Usos Multiples,Valor,Principal
3,AGENTE,AGENTE,6,Operaciones,Usos Multiples,Valor,Principal
4,APILAR,APILAR,6,Operaciones,Usos Multiples,Valor,Principal
5,AUTORIDAD,AUTORIDAD,9,Operaciones,Usos Multiples,Valor,Principal
6,BUQUE,BUQUE,5,Operaciones,Usos Multiples,Valor,Principal
7,CAMIÓN,CAMION,6,Operaciones,Usos Multiples,Valor,Principal
8,CARGO,CARGO,5,Operaciones,Usos Multiples,Valor,Principal
9,CÓDIGO,CODIGO,6,Operaciones,Usos Multiples,Valor,Principal
10,CONEXIÓN,CONEXION,8,Operaciones,Usos Multiples,Valor,Principal
11,CONTAINER,CONTAINER,9,Operaciones,Usos Multiples,Valor,Principal
12,DIMENSIÓN,DIMENSION,9,Operaciones,Usos Multiples,Valor,Principal
13,ENTREGA,ENTREGA,7,Operaciones,Usos Multiples,Valor,Principal
14,EQUIPO,EQUIPO,6,Operaciones,Usos Multiples,Valor,Principal
15,ESTADÍA,ESTADIA,7,Operaciones,Usos Multiples,Valor,Principal
16,ESTIBA,ESTIBA,6,Operaciones,Usos Multiples,Valor,Principal
17,FÉRREO,FERREO,6,Operaciones,Usos Multiples,Valor,Principal
18,FRENTE,FRENTE,6,Operaciones,Usos Multiples,Valor,Principal
19,GRANEL,GRANEL,6,Operaciones,Usos Multiples,Valor,Principal
20,GRÚAS,GRUAS,5,Operaciones,Usos Multiples,Valor,Principal
21,INDICADOR,INDICADOR,9,Operaciones,Usos Multiples,Valor,Principal
22,MANEJO,MANEJO,6,Operaciones,Usos Multiples,Valor,Principal
23,MARÍTIMO,MARITIMO,8,Operaciones,Usos Multiples,Valor,Principal
24,MERCANCÍA,MERCANCIA,9,Operaciones,Usos Multiples,Valor,Principal
25,MUELLE,MUELLE,6,Operaciones,Usos Multiples,Valor,Principal
26,NAVIERA,NAVIERA,7,Operaciones,Usos Multiples,Valor,Principal
27,OPERADOR,OPERADOR,8,Operaciones,Usos Multiples,Valor,Principal
28,OPERAR,OPERAR,6,Operaciones,Usos Multiples,Valor,Principal
29,ÓRGANO,ORGANO,6,Operaciones,Usos Multiples,Valor,Principal
30,PATIO,PATIO,5,Operaciones,Usos Multiples,Valor,Principal
31,PLANEAR,PLANEAR,7,Operaciones,Usos Multiples,Valor,Principal
32,PROCESO,PROCESO,7,Operaciones,Usos Multiples,Valor,Principal
33,PUERTO,PUERTO,6,Operaciones,Usos Multiples,Valor,Principal
34,RECEPCIÓN,RECEPCION,9,Operaciones,Usos Multiples,Valor,Principal
35,REEFER,REEFER,6,Operaciones,Usos Multiples,Valor,Principal
36,SEGURO,SEGURO,6,Operaciones,Usos Multiples,Valor,Principal
